sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
1,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,1
2,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,1
2,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,1
1,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,0
2,0.595,0.455,0.15,0.886,0.4315,0.201,0.223,1
1,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,0
0,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,1
1,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,0
1,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,1
0,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,1
0,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,0
1,0.395,0.3,0.09,0.279,0.134,0.049,0.075,0
2,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,1
1,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,0
1,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,0
1,0.41,0.31,0.11,0.315,0.124,0.082,0.095,1
0,0.69,0.56,0.215,1.719,0.68,0.299,0.47,1
1,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,0
2,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,1
0,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,1
2,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,0
1,0.55,0.425,0.135,0.656,0.257,0.17,0.203,1
2,0.705,0.56,0.165,1.675,0.797,0.4095,0.388,1
2,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,1
2,0.195,0.145,0.05,0.032,0.01,0.008,0.012,0
2,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,1
2,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,1
1,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,1
1,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,1
0,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,1
2,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,1
0,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,1
2,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,1
0,0.655,0.455,0.17,1.275,0.583,0.303,0.333,0
0,0.515,0.415,0.13,0.764,0.276,0.196,0.25,1
2,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,1
0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,1
1,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,0
2,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,1
0,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,1
0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,1
1,0.59,0.45,0.145,1.022,0.428,0.268,0.265,1
1,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,1
1,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,1
1,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,1
2,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,0
1,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,0
1,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,0
2,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,0
