Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
2,4,15,4,3,1,4,1,40,39,0
2,4,12,2,10,0,2,1,40,39,1
2,4,6,2,3,0,3,1,40,26,0
1,4,7,4,10,1,2,0,25,39,0
1,4,1,2,14,0,4,1,40,39,0
2,4,9,2,4,0,4,1,40,39,1
1,4,15,4,6,3,4,1,18,39,0
2,4,9,2,10,0,4,1,50,39,1
2,4,11,2,12,0,4,1,55,39,0
4,5,11,2,4,5,4,0,40,39,1
2,7,15,0,1,4,4,0,40,39,0
2,4,11,2,3,0,4,1,40,39,1
2,4,3,2,14,5,4,0,60,39,0
2,4,9,2,13,0,1,1,40,0,1
2,6,12,2,4,0,4,1,40,39,1
2,4,9,2,13,0,1,1,40,0,1
2,4,7,0,4,3,4,0,40,39,0
4,2,15,2,11,0,4,1,35,39,0
1,4,15,0,1,4,2,0,40,39,0
2,5,15,2,3,0,4,1,60,0,0
1,4,15,2,1,0,4,1,40,39,0
2,4,15,2,14,0,2,1,45,39,1
1,4,15,0,1,1,4,1,40,39,0
2,4,4,0,6,4,4,1,40,26,0
1,4,11,4,6,3,4,1,30,39,0
2,2,12,4,10,1,4,0,43,39,0
2,4,9,2,10,0,4,1,40,39,1
1,0,11,4,0,1,4,1,35,39,0
4,4,11,2,7,0,4,1,50,39,1
2,4,15,2,13,0,4,1,40,39,1
4,2,12,2,4,0,4,1,40,39,1
4,4,15,4,1,1,2,0,37,39,0
1,4,11,0,4,3,4,1,40,39,0
1,4,9,4,1,3,4,1,40,39,1
4,2,11,2,4,0,4,1,40,39,1
2,6,15,4,3,3,4,1,40,39,0
1,4,15,2,12,0,4,1,40,39,1
4,6,12,2,10,0,4,1,50,39,1
2,4,9,2,4,0,1,1,40,30,1
4,4,15,2,3,0,4,1,40,39,1
