Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
2,4,15,2,10,0,4,1,40,39,1
2,4,9,0,10,1,4,0,50,39,1
4,0,9,2,0,0,4,1,15,39,1
2,4,8,2,3,0,4,1,40,39,1
2,6,11,2,3,0,4,1,60,39,0
2,7,15,2,1,5,1,0,40,39,1
4,4,11,2,3,0,4,1,40,39,1
2,7,10,2,10,0,1,1,40,19,1
2,5,15,2,8,5,4,0,18,39,1
3,4,0,4,8,2,4,1,40,26,0
2,4,12,2,4,0,4,1,70,39,1
2,4,9,2,3,0,4,1,45,39,1
2,4,11,2,12,0,4,1,48,39,0
1,4,15,2,8,0,4,1,40,39,0
2,4,8,2,3,0,1,1,40,19,1
2,4,11,4,8,4,2,0,24,39,0
1,4,15,4,10,1,4,1,15,39,0
2,5,9,2,12,0,4,1,60,39,1
1,4,11,4,6,3,2,1,48,39,0
4,4,11,6,8,2,4,0,32,39,0
